_id	Repository	Word Count Range	Name	Description	Model	Predictions	# correct
Dataverse_10.7910_DVN_UMKWCI	Harvard Dataverse	0-10 words	Konzeptstudie über die Kompatibilität von Regionalflugzeugen für die Bodenabfertigung	I	gpt-3.5-turbo	['Conceptual study', 'Compatibility analysis', 'Regional aircraft evaluation', 'Ground handling assessment']	2
Dataverse_10.7910_DVN_CJDNIE	Harvard Dataverse	0-10 words	A13_24998.jpg	Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/b13babdb-e054-4b46-834f-a5128b1f5c1f	gpt-3.5-turbo	['Image capture', 'Database linking']	0
Dataverse_10.7910_DVN_VH5JLZ	Harvard Dataverse	0-10 words	hou00201c00035	D	gpt-3.5-turbo	['Data collection', 'Data processing', 'Analysis']	0
Dataverse_10.7910_DVN_JOAUYR	Harvard Dataverse	0-10 words	A12_22337.JPG	Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/0cc65a51-b673-42a9-b06f-d5f7a961910f	gpt-3.5-turbo	['Photography', 'Database management']	0
Dataverse_10.34894_JBLFCO	Harvard Dataverse	0-10 words	Gent_2009_Peperstraat	Dendrochronological research project	gpt-3.5-turbo	['Dendrochronology']	0
Dataverse_10.7910_DVN_O38OCG	Harvard Dataverse	11-20 words	Replication Data for: Sequential Monte Carlo for Sampling Balanced and Compact Redistricting Plans	R	gpt-3.5-turbo	['Sequential Monte Carlo Method']	1
Dataverse_10.34725_DVN_JMJWYS	Harvard Dataverse	11-20 words	Farm inventory surveys in Rwanda: Birds data	Birds data from Rwanda	gpt-3.5-turbo	['Farm inventory surveys', 'Data collection']	1
Dataverse_10.7910_DVN_N9EJNR	Harvard Dataverse	11-20 words	Replication Data for: A meta-analytic cognitive framework of nudge and sludge	R	gpt-3.5-turbo	['Meta-analysis', 'Data replication']	0
Dataverse_10.34894_DAILQJ	Harvard Dataverse	11-20 words	Romeinse constructie onder water, Maasbodem. Projectnummer dendrochronologie (Stichting RING): 2010007	Dendrochronological research project	gpt-3.5-turbo	['Dendrochronology']	0
Dataverse_10.7910_DVN_LEMNXZ	Harvard Dataverse	11-20 words	State Legislative Historical Elections	State legislative general elections prior to 1970.	gpt-3.5-turbo	['Historical research', 'Data collection', 'Data cleaning', 'Data analysis']	1
Dataverse_10.7910_DVN_CGBBYP	Harvard Dataverse	21-30 words	Replication Data for The Rise of Finance Companies and FinTech Lenders in Small Business Lending	Stata code and non-proprietary data to replicate results in Gopal and Schnabl (2022)	gpt-3.5-turbo	['Stata coding', 'Data replication']	0
Dataverse_10.7910_DVN_69JI12	Harvard Dataverse	21-30 words	Replication Data for: Heterogeneous Solar Capacity Benefits, Appropriability, and the Costs of Suboptimal Siting	Replication Data for: Heterogeneous Solar Capacity Benefits, Appropriability, and the Costs of Suboptimal Siting	gpt-3.5-turbo	['Replication study, data collection, statistical analysis']	0
Dataverse_10.34894_UQEGVF	Harvard Dataverse	21-30 words	Deventer, Bergschild 7. Projectnummer dendrochronologie (Stichting RING): 1998020	Dendrochronological research project. The measurement series on which the results are based at present are unavailable.	gpt-3.5-turbo	['Dendrochronology']	0
Dataverse_10.7910_DVN_C6WCUY	Harvard Dataverse	21-30 words	Replication materials for: The origins of persistent current account imbalances in the post-Bretton Woods era	Code for Stata and R to reproduce all tables and figures in the main article.	gpt-3.5-turbo	['Code for Stata', 'Code for R', 'Replication materials']	0
Dataverse_10.7910_DVN_PBDZKH	Harvard Dataverse	21-30 words	Diretório e Executivas Nacionais - Brasil - Partido Político Socialista Brasileiro - PSB	Partidos Políticos do Brasil, Diretórios, Executiva, Membros, Eleitorado, Eleições, Votos,	gpt-3.5-turbo	['Web scraping', 'Data extraction', 'Data cleaning', 'Data analysis']	0
